title,artist,created,date,creditline,source
Eola Light,Rodolfo Bretzel,1992,1995,Gift of Murray Moss,Documents/info664project/moma.csv
Double page plate (folios 3 verso and 4) from ZAVJET ZA EPETION,Edo Murtić,1984,1984,Gift of the artist,Documents/info664project/moma.csv
"Transience (Vergänglichkeit) (plate, loose leaf) from the periodical Das Kunstblatt, vol. 2, no. 5 (May 1918)",Otto Gleichmann,1918,1949,"Transferred from The Museum of Modern Art Library, New York",Documents/info664project/moma.csv
Candy Jar,"Jurriaan Kok, Jacobus Lucas Verhoog",1900,1991,Gift of Don Page,Documents/info664project/moma.csv
"THE MESSENGER, plate 2 (page 59) from À LA GLOIRE DE LA MAIN",Roger Chastel,"Paris, (privately published), 1949.",1951,Purchase Fund,Documents/info664project/moma.csv
Playtime for Dung-Hills,Jockum Nordström,2000,2001,Gift of the Friends of Contemporary Drawing,Documents/info664project/moma.csv
SCREENPRINT NO. III. LAST STOP,Alun Leach-Jones,-1967,1967,Joseph G. Mayer Foundation Fund,Documents/info664project/moma.csv
Vase,Ursula Morley Price,1981,1982,Mrs. John D. Rockefeller 3rd Purchase Fund,Documents/info664project/moma.csv
"The Third Reich 'n' Roll (also known as The Land of 1,000 Dances)",The Residents,1975,1992,Gift of Ralph Records and Cryptic Corporation,Documents/info664project/moma.csv
Poems from S.M.S. No. 3,Aftograf,1968,1977,Gift of Carol O. Selle,Documents/info664project/moma.csv
Platters for Sandwiches or Cake,Frank Graham Holmes,Unknown,,Gift of the manufacturer,Documents/info664project/moma.csv
Untitled from the Museum in Progress project Signs of Trouble,"Armand Mevis, Linda van Deursen","(newspaper published September 18, 1998)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Northeast View from Lander from Exit 8,Gregory Green,1998,2007,Gift of Lee and Ann Fensterstock,Documents/info664project/moma.csv
"Eglise St. Etienne, Caen",Braun et Compagnie,1876-89,1982,Purchase,Documents/info664project/moma.csv
Untitled,Terry Husebye,"May, 1979",1981,Joseph G. Mayer Fund,Documents/info664project/moma.csv
Casement Cloth,Ellen Siegel,1956,,Given anonymously,Documents/info664project/moma.csv
Mask (Who Meeeeee?),Bob Danner,-1973,1973,John B. Turner Fund,Documents/info664project/moma.csv
Untitled from Artifacts at the End of a Decade,Harry Anderson,"1980, published 1981",1987,Gift of Joseph Daniel Cahill Masheck,Documents/info664project/moma.csv
Angel Island Smuggler's Story,Colin Lee,1979,1990,Gift of Kiyo A. Matsumoto,Documents/info664project/moma.csv
"Music from Abhasa, image-bearing light","Lita Albuquerque, Robert Kramer, Harold Budd, Various Artists",1983,2013,Committee on Prints and Illustrated Books Fund,Documents/info664project/moma.csv
L'Incident Jones,Marc Paradis,1986,1988,Purchase,Documents/info664project/moma.csv
Wrap Dress,"Diane von Furstenberg, DVF Studio LLC",1974,2017,Gift of the Diane von Furstenberg archives,Documents/info664project/moma.csv
Collage D,Garth Evans,-1967,1969,Joseph G. Mayer Foundation Fund,Documents/info664project/moma.csv
Head,Morris Kantor,1911,1940,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
Archive from the Museum in Progress project TransAct 2 - Linguistic Fields,Antonin Artaud,"(newspaper published September 6, 2002)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
U.G.T. Treballa per als que Uniten!,Tontsere,1900-1936,1936,Gift of Christian Zervos,Documents/info664project/moma.csv
Table Lamp,Anthony Ingolia,c. 1950,1951,Gift of the manufacturer,Documents/info664project/moma.csv
Krater und Wolke 1-5,"Georg Baselitz, James Lee Byars, Jörg Immendorff, Per Kirkeby, Markus Lüpertz, A.R. Penck (Ralf Winkler), Various Artists",1982–90,1993,"Transferred from The Museum of Modern Art Library, New York",Documents/info664project/moma.csv
"Jack Angaiak, Seal Hunting, Tununak, Alaska",Alexander E. Harris,1975,1979,Acquired through the generosity of the Vera Louise Fraser Estate,Documents/info664project/moma.csv
"The Cure, Head on the Door","Pearl Thompson, Andy Vella",1985,2012,Gift of Lawrence Benenson,Documents/info664project/moma.csv
City Bird,Richard Stankiewicz,1957,1958,Philip Johnson Fund,Documents/info664project/moma.csv
"Hotel Event, performed at Waldorf Astoria, New York, June 4, 1966","George Maciunas, Hi Red Center, Mieko Shiomi",1966,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
"Album cover for Devo, Freedom of Choice",Artrouble,1980,2015,Committee on Architecture and Design Funds,Documents/info664project/moma.csv
"Springtime (Printemps) from L'Estampe Moderne, Number 5",Maurice Eliot,published September 1897,1958,Gift of Mr. and Mrs. E. Powis Jones,Documents/info664project/moma.csv
Lewis and Clark,Steven Sorman,"June 20, 1978.",1979,Acquired with the matching funds from Mr. and Mrs. Herbert D. Schimmel and the National Endowment for the Arts,Documents/info664project/moma.csv
"Peter Pin, R. Bunnit, and Didoo Railings, from the Sweet Dreams Security series",Matthias Megyeri,2003,2006,SAFE Exhibition Fund,Documents/info664project/moma.csv
Untitled,Monika Sosnowska,2012,2012,Gift of the Speyer Family Foundation,Documents/info664project/moma.csv
Canned Transistors SMS Card,Sam Lucente,c. 1955.,1990,Gift of the manufacturer,Documents/info664project/moma.csv
"The Planet of Vienna, Rooftop Oasis Project, New York, NY (Poster for the opening of Haus Rucker Studio)","Günter Zamp Kelp, Klaus Pinter",1971,2005,Gift of David Childs,Documents/info664project/moma.csv
Untitled,Calvert Richard Jones,c. 1850,1993,"Gift of Hans P. Kraus, Jr.",Documents/info664project/moma.csv
Punkappella,Bob George,1978,2013,Committee on Prints and Illustrated Books Fund,Documents/info664project/moma.csv
Untitled from the Museum in Progress project Cities on the Move,Rudi Molacek,"(newspaper published: December 9, 1997 and December 17, 1997)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
"""Placing Markers for Execution Squad""",Peter Carroll/Associated Press,28-May-45,2001,The New York Times Collection,Documents/info664project/moma.csv
"Dover, New Jersey",Israel Litwak,1947,1949,Gift of Dr. F. H. Hirschland,Documents/info664project/moma.csv
"Bondage no. 1, December 1976",Shane McGowan,1976,2012,Gift of Lawrence Benenson,Documents/info664project/moma.csv
Metropolitan Acquaintances,Robin Winters,-1974,1986,"Gift of the Louis and Bessie Adler Foundation, Inc., Seymour M. Klein, President",Documents/info664project/moma.csv
"Romance (La romance) from L'Estampe Moderne, Number 13",Roedel,published May 1898,1958,Mr. and Mrs. E. Powis Jones Fund,Documents/info664project/moma.csv
Meat Skewer,James J. Jacobson,c. 1950,1958,Gift of Lewis & Conger,Documents/info664project/moma.csv
Boxes exhibition scroll,"Dwan Gallery, New York",1964,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
Floor Lamp (model 2037),Neal Small,1966,1968,Gift of the designer,Documents/info664project/moma.csv
Fiesta,Alfonso Ramirez Fajardo,1942,1942,Inter-American Fund,Documents/info664project/moma.csv
Japanese House in the Garden of the Museum of Modern Art,Ezra Stoller,1955,1955,Gift of the Publications Department,Documents/info664project/moma.csv
Schönheit der Arbeit Bauhaus Weimar-May (The Beauty of the work of the Bauhaus Weimar-May) (Wallpaper sample book),Rasch Brothers & Co.,1939,2008,Architecture & Design Purchase Fund,Documents/info664project/moma.csv
"Casas Urbanizacion el Retiro, Bogotá, Colombia (Plan and perspective sketch)",Guillermo Bermúdez,c.1953,,"Gift of Daniel, Consuelo and José Alejandro Bermúdez",Documents/info664project/moma.csv
"Acceleration 19, Series B",Yvaral (Jean Pierre Vasarely),1962,1963,Gift of Philip Johnson,Documents/info664project/moma.csv
"Furman Street, Brooklyn",Robert Levin,1974,1976,Purchase,Documents/info664project/moma.csv
Komsomoliia. Stranitsy epopei,B. Efimov,1924,2001,Gift of The Judith Rothschild Foundation,Documents/info664project/moma.csv
Roman Forum,Eugène Constant,1847-55,2009,Suzanne Winsberg Collection. Gift of Suzanne Winsberg,Documents/info664project/moma.csv
"Revue OU Cinquième Saison, no. 33","Various Artists, Bernard Aubertin, François Dufrêne, Brion Gysin, Bernard Heidsieck, Gil J Wolman",1968,2017,General Print Fund,Documents/info664project/moma.csv
"Revue OU Cinquième Saison, no. 34/35","Various Artists, Henri Chopin, Bob Cobbing, Hugh Davies, Jean Degottex, François Dufrêne, Paul-Armand Gette, Hansjörg Gisiger, Michel Seuphor",1969,2017,General Print Fund,Documents/info664project/moma.csv
"PREVI Housing Project, Lima, Peru",Frederick Cooper Llosa,1968-1972,,Gift of the architect,Documents/info664project/moma.csv
Untitled,Mehrdad Yazdani,1996,1996,Gift of the architect in honor of Philip Johnson,Documents/info664project/moma.csv
Plona Folding Armchair,Giancarlo Piretti,1970,1972,Gift of the manufacturer,Documents/info664project/moma.csv
Engadiner Spirenen St. Moritz,Wilhelm Friedrich Bürger,1914,2000,Gift of the designer,Documents/info664project/moma.csv
"Playbill for a performance of Vishnevyi Sad (The Cherry Orchard), \Playbill for a performance of \Vishnevyi Sad \(\The Cherry Orchard\)\",Moisei Levin,1926,2001,Gift of The Judith Rothschild Foundation,Documents/info664project/moma.csv
97. P'iesa,K. Turganov,1929,2001,Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),Documents/info664project/moma.csv
Coloring Book 57,Sable Elyse Smith,2020,2020,Fund for the Twenty-First Century,Documents/info664project/moma.csv
From These Windows,Fiorenzo Giorgi,1961,1963,Mr. and Mrs. E. Powis Jones Fund,Documents/info664project/moma.csv
Abstract (Abstrato),Willys de Castro,1957/58,2001,"Gift of Hercules Rubens Barsotti, Sao Paulo",Documents/info664project/moma.csv
"Plate 16 from L'AVANGUARDIA INTERNAZIONALE, Volume 2/L'AVANT-GARDE INTERNATIONALE, Volume 2/THE INTERNATIONAL AVANT-GARDE, Volume 2",Key Sato,1962,1964,Gift of Peter H. Deitsch,Documents/info664project/moma.csv
Népszava: Magyarország népköztársaság,Mihály Biró,1918,2009,Gift of Jo Carole and Ronald S. Lauder,Documents/info664project/moma.csv
"Charles, Vasa, Minnesota",Alec Soth,2002,2011,"Gift of Susan and Arthur Fleischer, Jr.",Documents/info664project/moma.csv
The Green Ray (for Parkett no. 62),Tacita Dean,2001,2001,Alexandra Herzan Fund,Documents/info664project/moma.csv
Leapfrog Computer,"Richard Sapper, Sam Lucente",1989,1998,Gift of the manufacturer,Documents/info664project/moma.csv
Universal Studios,Bill Dane,1974,1980,Gift of Jeffrey Fraenkel,Documents/info664project/moma.csv
Untitled,Vaclav Pozarek,2016,2016,General Print Fund,Documents/info664project/moma.csv
One Structure,Ian Burn,-1969,1969,Gift of Donald H. Karshan,Documents/info664project/moma.csv
New York,Helen Levitt,1940,1941,David H. McAlpin Fund,Documents/info664project/moma.csv
Dead Tree and Building,Ernest Knee,1938,1942,Gift of James Thrall Soby,Documents/info664project/moma.csv
Kitchen Storage Pot,Theodor Bogler,1923,1970,Estée and Joseph Lauder Design Fund,Documents/info664project/moma.csv
"Gerhard Richter Neue Bilder, Galerie Heiner Friedrich, München","Mendell & Oberer, Pierre Mendell, Klaus Oberer",1967,1968,"Gift of Galerie Heiner Friedrich, Munich",Documents/info664project/moma.csv
Anonymous Sculpture,"Bernd Becher, Hilla Becher",1970,1970,Gertrud A. Mellon Fund,Documents/info664project/moma.csv
Untitled,Lucia Radochonska,1973,1974,Purchase,Documents/info664project/moma.csv
Rocking the Great Walls,Victor Huey,1993,1999,,Documents/info664project/moma.csv
Untitled,Elaine Mayes,3-Sep-68,1970,Purchase,Documents/info664project/moma.csv
"Umbrella House (plate, folio 29) from Your House Is Mine",Seth Tobocman,1991,1993,The Ralph E. Shikes Fund,Documents/info664project/moma.csv
Hand Study,Otto Schmidt,1885,1988,Acquired through the generosity of Jo Carole and Ronald S. Lauder,Documents/info664project/moma.csv
Four Sweets,Julia Jacquette,1995,1999,Acquired through the generosity of Edward and Evanne Gargiulo,Documents/info664project/moma.csv
"G. K. Beck, Olbilder, Gouachen, Handzeichnungen",Gustav K. Beck,1965,1966,Gift of the designer,Documents/info664project/moma.csv
Tagtype and Tagtype Garage Kit,"Leading Edge Design Corp., Shunji Yamanaka, Kinya Tagawa, Jun Homma",2003,2009,Gift of the designers,Documents/info664project/moma.csv
Schematic Composition [Composition schématique] <i> (commissioned by Jean [Hans] Arp and fabricated by Marcel Schneider c. 1954 after a 1933 gouache by Sophie Taeuber-Arp) </i>,After Sophie Taeuber-Arp,1933/c. 1954,1969,Gift of Silvia Pizitz,Documents/info664project/moma.csv
"Denkmal 53, Tate Modern, Bankside 53, London SE 19TG, 2005, Fig. 2d. Level 2 Gallery",Jan De Cock,2005,2008,Fund for the Twenty-First Century,Documents/info664project/moma.csv
Turboo 2 Cut!,Delta 2 (Calvin Gonzales),1984,2018,"Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit",Documents/info664project/moma.csv
Einstein on the Beach,"Philip Glass, Robert Wilson",1978,2013,Committee on Prints and Illustrated Books Fund,Documents/info664project/moma.csv
How High the Moon Armchair,Shiro Kuramata,1986,1989,"Gift of the Vitra Design Foundation, Switzerland",Documents/info664project/moma.csv
"Paquetá, Rio de Janeiro",Thomaz Farkas,c. 1945,,Gift of the artist,Documents/info664project/moma.csv
Irresponsible Behaviour or Destroy Society from Break the Silence!,Tinus Boshoff,2000,2007,General Print Fund,Documents/info664project/moma.csv
Jewish Tenants in Williamsburg Housing Project,Peter Sekaer,1939,1941,Purchase,Documents/info664project/moma.csv
Mandry Ven'iamyna Tret'oho,Moisei Fradkin,1934,2001,Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),Documents/info664project/moma.csv
Untitled,Dennis Anderson,c. 1960,1970,Purchase,Documents/info664project/moma.csv
Head,Jack Smith,Dec-58,1960,Purchase,Documents/info664project/moma.csv
Fight the Power,"Spike Lee, Public Enemy",1989,2003,,Documents/info664project/moma.csv
Untitled from the Museum in Progress project The Century of Artistic Freedom,Elke Krystufek,"(newspaper published: May 5, 1998)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Jazz Band Ball,Günther Kieser,1963,1963,Gift of the artist,Documents/info664project/moma.csv
Interhorizontal Nexus IV (Kiev 4),Jorinde Voigt,2010,2012,Gift of Morris Orden,Documents/info664project/moma.csv
Mobile Table (model 5152),George Nelson,c. 1949,1953,Gift of the manufacturer,Documents/info664project/moma.csv
The Cuckoo Egg Cup Under Spilling Plastic Flowers,Thomas Lanigan-Schmidt,1985,2013,Gift of John and Thomas Solomon in honor of Holly Solomon,Documents/info664project/moma.csv
Telephone (Telefon),"Gerhard Richter, Blinky Palermo",1971,1988,Walter Bareiss Fund,Documents/info664project/moma.csv
The Studio Window,Harry R. Barry,c. 1922-23,1942,Purchase,Documents/info664project/moma.csv
Poster for the film Strike (Stachka) directed by Sergei Eisenstein,Anton Lavinsky,c.1924,2018,"The Merrill C. Berman Collection. Acquired through the generosity of Alice and Tom Tisch, Jo Carole and Ronald S. Lauder, Sue and Edgar Wachenheim III, David Booth, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, Jack Shear, the Patricia Bonfield Endowed Acquisition Fund for the Design Collection, Daniel and Jane Och, The Orentreich Family Foundation, Emily Rauh Pulitzer, The Modern Women's Fund; and by exchange: Gift of Jean Dubuffet in honor of Mr. and Mrs. Ralph Colin, The Judith Rothschild Foundation Contemporary Drawings Collection, and the Richard S. Zeisler Bequest",Documents/info664project/moma.csv
"Near Suffield, Connecticut",Mark Steinmetz,1987,1989,Polaroid Foundation Fund,Documents/info664project/moma.csv
Untitled,Keith Sonnier,1967,1970,Gift of Philip Johnson,Documents/info664project/moma.csv
Conversation before the Mirror,Pietro Consagra,1957,1960,Gift of G. David Thompson,Documents/info664project/moma.csv
L'Optique Moderne,"Daniel Spoerri, François Dufrêne",1963,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
Letaiushchii proletarii (The Flying Proletariat),Grigorii Bershadskii,1925,2001,Gift of The Judith Rothschild Foundation,Documents/info664project/moma.csv
Untitled,Linda Lindroth,1974,1974,Gift of the artist,Documents/info664project/moma.csv
Untitled,Donald C. Fritz,1990,1991,Gift of John Loring,Documents/info664project/moma.csv
Canto I from the series Canto Inferno,Gerard Garouste,-1987,1988,Purchase,Documents/info664project/moma.csv
Spinning,Emilie V. Clarkson,1901,1944,Gift of Albert Boni,Documents/info664project/moma.csv
Vinyl Man and Others,The Sets,1980,2013,Committee on Prints and Illustrated Books Fund,Documents/info664project/moma.csv
Desk Lamp,Karl Trabert,c. 1930,1980,Philip Johnson Fund,Documents/info664project/moma.csv
Comic's Roberta Breitmore (An Alchemical Portrait),"Lynn Hershman Leeson, Spain Rodriguez",1975,2011,The Modern Women's Fund,Documents/info664project/moma.csv
S.M.S. No. 5,"William Anthony, Wall Batterton, Congo (a Chimpanzee), Edward Fitzgerald, Neil Jenney, Angus MacLise, Bruce Nauman, Yoko Ono, Mel Ramos, Robert Rohm, William Schwedler, Diane Wakaski, Lawrence Weiner, Various Artists",1968,1977,Gift of Carol O. Selle,Documents/info664project/moma.csv
"Kyle Residence, Houston, Texas, Sections","Joel Sanders, Architect, Joel Sanders",1995,1997,Gift of the Peter Norton Family Foundation,Documents/info664project/moma.csv
Untitled,María Freire,1954,2016,Gift of Patricia Phelps de Cisneros through the Latin American and Caribbean Fund in honor of Gabriel Pérez-Barreiro,Documents/info664project/moma.csv
"Brigadas Ramona Parra, Juventudes Comunistas de Chile (Poster for an exhibition at the Museo de Arte Contemporáneo, Santiago)","Brigadas Ramona Parra, Juventudes Comunistas de Chile",1971,2015,Anonymous gift,Documents/info664project/moma.csv
"Foam Form, Kaohsiung, Taiwan. Project (Scale model 1:200)",Akihisa Hirata,2011,2016,Gift of the architect,Documents/info664project/moma.csv
NUDE (Fairlie),Nicolas Tucker,Sep-77,1977,Gift of the artist,Documents/info664project/moma.csv
Ewige Pflanzlichkeit,Olaf Wegewitz,1989,1993,Purchase,Documents/info664project/moma.csv
Plate (folio 2) from POR EL PUENTE DE LA PALABRA,Carlos Silva,1967,1969,Latin American Fund,Documents/info664project/moma.csv
Contribuir para A Criação da Grande Siderurgia e Tomar Parte Ativa na Emancipação Econômica do Brasil,Monteiro Filho,c.1946,2014,Gift of the designer,Documents/info664project/moma.csv
"Book of Genesis According To San Miguelito (plate, folio 27) from Your House Is Mine","Miguel Piñero, Andrew Castrucci",1991,1993,The Ralph E. Shikes Fund,Documents/info664project/moma.csv
"Weeds in Snow, Detroit",Harry Callahan,1943,1954,Gift of the artist,Documents/info664project/moma.csv
Untitled from the Museum in Progress project Return,Oliver Croy,17-Jan-95,2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Cry,"Lol Crème, Kevin Godley",1985,1986,Gift of Polydor Records,Documents/info664project/moma.csv
Ice Cream Scoop,Sherman L. Kelly,1935,1956,Purchase Fund,Documents/info664project/moma.csv
Untitled,Kim Jones,(1991-94),1995,Gift of Sarah-Ann and Werner H. Kramarsky,Documents/info664project/moma.csv
Untitled (George Grosz in his Berlin Studio),Ewald Hoinkis,1928,2017,"Thomas Walther Collection. Gift of Thomas Walther
",Documents/info664project/moma.csv
Parkett no. 39,"Felix Gonzalez-Torres, Wolfgang Laib, Roni Horn, Jean-Jacques Rullier, Various Artists",1994,1998,"Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",Documents/info664project/moma.csv
Landscape (Two Women),Xaviera Simmons,2007,2017,Acquired through the generosity of Marie-Josée and Henry R. Kravis,Documents/info664project/moma.csv
Water Carafe,Aldo Bakker,2007,2019,Gift of Helen Drutt English and H. Peter Stern,Documents/info664project/moma.csv
Hanging Neck Watch,Bruno Ninaber Van Eyben,1976,1977,Zaidee Dufallo Fund,Documents/info664project/moma.csv
Bezalel,Yarom Vardimon,1981,1982,Gift of the artist,Documents/info664project/moma.csv
Pozegnanie z Diablem,Wiktor Górka,1957,1961,Given anonymously,Documents/info664project/moma.csv
He Is Keeping the World Safe for Democracy,C. Carleton,c. 1916-1918,1940,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
Inlet Intuit,Shelby Hughes,-2003,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Surf Collection Lumbar Support,"Ross Lovegrove, Stephen Peart, Knoll In-house Design Team",1994,1998,Gift of the manufacturer,Documents/info664project/moma.csv
New Drone,Zak Prekop,2021,2021,Fund for the Twenty-First Century,Documents/info664project/moma.csv
Pay Day,José Gabriel Gonzáles,c. 1920,1992,The Family of Man Fund,Documents/info664project/moma.csv
"Scene for a New Heritage – New Possibilities Series, A",David Maljković,2004,2007,Fund for the Twenty-First Century,Documents/info664project/moma.csv
"Die Aktion, vol. 10, no. 9/10",Georg Arndt,6-Mar-20,2010,Committee on Prints and Illustrated Books Fund and The Library Council,Documents/info664project/moma.csv
Marco 8-cup Coffee Percolator,Edward Condak,c.1946,1948,Gift of the manufacturer,Documents/info664project/moma.csv
Untitled from the Museum in Progress project Global Positions,"Juan Maidagan, Dolores Zinny","(newspaper published June 22, 1999)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Call to Printing for Commerce,Federico,1955,1956,Gift of the artist,Documents/info664project/moma.csv
Spectre of Kitty Hawk,Theodore Roszak,1946-47,1950,Purchase,Documents/info664project/moma.csv
Hold Up Your End!,W. B. King,1917,1940,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
Garden of Arts from Eastern European Prints,Arnold Gross,"1966, published 1970",1970,Gift of Andrew and Mary Stasik,Documents/info664project/moma.csv
Álvaro Barrios as Marcel Duchamp as Rrose Sélavy as L.H.O.O.Q. from Mundo,"Álvaro Barrios, David Leidig",1980-2006,2007,Gift of the artist,Documents/info664project/moma.csv
Futurismo Artecrazia letterhead (Letter to Arthur Cohen),Luigi Scrivo,1976,2015,"Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds",Documents/info664project/moma.csv
Objects (Objetos),Julio Plaza,1968–69,2016,Latin American and Caribbean Fund,Documents/info664project/moma.csv
Vienna—Life at the Prater. Outsiders,Dr. Emil Mayer,c. 1910,2006,Gift of Annette and Rudolf Kicken,Documents/info664project/moma.csv
Plate (folio 1 verso) from GEDICHTE,Eberhard Göschel,1978,1980,Joanne M. Stern Fund,Documents/info664project/moma.csv
La América del Che,Rene De La Nuez,c.1972,2015,Anonymous gift,Documents/info664project/moma.csv
Ordinary Life,Hironori Terai,1985,1986,Purchase,Documents/info664project/moma.csv
"Untitled (OGV-Blackviolet, OGV-Blackgreen, and OGV-Blackorange)",Dan Walsh,2007,2009,Fund for the Twenty-First Century,Documents/info664project/moma.csv
MX5 Miata Automobile Taillights,"Mazda Motor Corporation, California",1983,1998,"Gift of Mazda Motor Corporation, California",Documents/info664project/moma.csv
Untitled,John Nagel,c. 1970,1972,Purchase,Documents/info664project/moma.csv
Hanchars'ki kakhli Chernihivshchyny XVIII - XIX st.,Evgeniia Spas'ka,1928,2001,Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),Documents/info664project/moma.csv
Hard,David Saunders,1986,1988,Lily Auchincloss Fund,Documents/info664project/moma.csv
"Le Mirliton, no. 4",Achilles Lemot,"November 15, 1885",,Grace M. Mayer Bequest,Documents/info664project/moma.csv
Funeral II,Bea Maddock,Sep-71,1973,Purchase,Documents/info664project/moma.csv
"Save Your Child from Autocracy and Poverty, Buy War Savings Stamps",Herbert Paus,1916-20,1940,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
Never My Soul (single screen version),Kutlug Ataman,2001,2004,Fund for the Twenty-First Century,Documents/info664project/moma.csv
Greentree's Sloe Gin from Documenta: The Super Realists,Richard McLean,1972,1976,Gift of Dr. Samuel Mandel,Documents/info664project/moma.csv
BÏF§ZF+18: Simultaneità e chimismi lirici,Ardegno Soffici,1915,2006,Monroe Wheeler Fund,Documents/info664project/moma.csv
For 70 Years,Francis Meynell,1939-45,1943,Gift of Mrs. John Carter,Documents/info664project/moma.csv
Parkett no. 81,"Various Artists, Christian Jankowski, Cosima von Bonin, Ulla von Brandenburg, Ai Weiwei, Heimo Zobernig",2008,2009,Gift of Parkett,Documents/info664project/moma.csv
Scissors,Olof Backstrom,"Designed 1960-1967, this example 1976",1977,Greta Daniel Fund,Documents/info664project/moma.csv
Kiln,Manuel Álvarez Bravo,1957,,Gift of N. Carol Lipis,Documents/info664project/moma.csv
Fluxkit,"Various Artists, Eric Andersen, Ay-O, George Brecht, Dick Higgins, Joe Jones, Alison Knowles, Takehisa Kosugi, George Maciunas, Nam June Paik, Benjamin Patterson, Mieko Shiomi, Ben Vautier, Robert Watts",1965,,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
Riffs on Real Time,Leslie Hewitt,2002-05,2007,Fund for the Twenty-First Century,Documents/info664project/moma.csv
10.1.4 Wristwatch,M & Co,1984,1985,Gift of the manufacturer,Documents/info664project/moma.csv
"Supersurface, The Happy Island, project","Superstudio, Gian Piero Frassinelli, Alessandro Magris, Roberto Magris, Adolfo Natalini, Cristiano Toraldo di Francia, Alessandro Poli",1971,1974,Given anonymously,Documents/info664project/moma.csv
Military Ambulance,P. Petersen,1865,1986,Gift of John C. Waddell,Documents/info664project/moma.csv
Him + Her,Candice Breitz,1968-2008,2009,Gift of Outset Contemporary Art Fund,Documents/info664project/moma.csv
Raymond Jacobs Photographer,"Robert Brownjohn, Ivan Chermayeff, Thomas Geismar, Raymond Jacobs",1950s,2011,Gift of Don Goeman,Documents/info664project/moma.csv
Untitled (Fire Eater),Shinako Sato,2003,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Untitled from Ricas y Famosas,Daniela Rossell,1996,2013,Gift of Heather and Tony Podesta,Documents/info664project/moma.csv
Orpheus. Design for scenery for the play,Horacio A. Butler,-1939,,Gift of Lincoln Kirstein,Documents/info664project/moma.csv
Woman on Balcony,Jane Dickson,1984,1984,Richard A. Epstein Fund,Documents/info664project/moma.csv
Bird in Space,Constantin Brâncuși,1928,1934,Given anonymously,Documents/info664project/moma.csv
"High Night, II",Ezra Orion,1963,1965,Gift of Mr. and Mrs. George M. Jaffin,Documents/info664project/moma.csv
"Project for a Monument ""Aranysor"" (Golden Row)",Etienne (Istvan) Béothy,1919,1985,The Riklis Collection of McCrory Corporation,Documents/info664project/moma.csv
The Little Hunter (Le Petit Chasseur),Felix Buhot,-1892,1985,Blanchette Hooker Rockefeller Fund,Documents/info664project/moma.csv
City of Angels,"Marina Abramović, Ulay",1983,1984,Purchase,Documents/info664project/moma.csv
Space Curtains,Paco Rabanne,c.1970,2018,Gift of the George R. Kravis II Collection,Documents/info664project/moma.csv
Sailing,Ung-no Lee,-1957,1958,Blanchette Hooker Rockefeller Fund,Documents/info664project/moma.csv
Collage Number 242,Francisco Farreras,1965,1965,Gift of Dr. Andres J. Escoruela,Documents/info664project/moma.csv
Frank Lloyd Wright examing the Guggenheim Museum model with Taliesin students,Volkmar K. Wentzel,1957,,"The Frank Lloyd Wright Foundation Archives (The Museum of Modern Art | Avery Architectural & Fine Arts Library, Columbia University, New York)",Documents/info664project/moma.csv
"You Can Be Sure of Shell, Anglers Prefer Shell",Clifford and Rosemary Ellis,1934,1937,Gift of Shell - Mex B P,Documents/info664project/moma.csv
It Is Easy to Have Top Brand Gifts (È facile avere regali di gran marca),Ketty La Rocca,1964–65,2017,Committee on Drawings and Prints Fund and The Modern Women's Fund,Documents/info664project/moma.csv
The Red Dressing Gown,Alexander Semenovitch Shenderov,1960,1961,Larry Aldrich Fund,Documents/info664project/moma.csv
(Untitled),Mitsuo Kano,(c. 1962),1964,Felix and Helen Juda Foundation Fund,Documents/info664project/moma.csv
"Poster for Fluxfest, Longshoreman's Hall, San Francisco, March 31, 1967",Ida Griffin,1967,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
