Vito," ""Acconci"""," """""," """""," """""," """""," ""Courtyard Design"""," ""1995"""," ""Stamped concrete", steel seating," plantings"""," ""Landscape Design"""," ""na"""," ""Accessible"""," ""Accessible"""," ""Perkins & Will"""," ""Department of Education"""," ""School Construction Authority"""," ""Public School 3"""," ""School"""," ""2100 La Fontaine Avenue"""," ""40.8499755710363"""," ""-73.8922465592622"""," ""Bronx"""," ""NY"""," ""10457-3333"""," ""Belmont"""," ""Bronx"""," ""6"""," ""4 (Burnside Avenue)"""," ""Vito Acconci redesigned the courtyard of P.S. 3 to reflect the architectural elements of the school building. Benches and planters represent the windows and designs in the pavement represent other elements of the school's facade. The result is an enhanced architectural environment wherein", as the artist describes," \""the walls that enclose the children inside become the ground that children walk over and play on"," outside.\"""""," ""Vito Acconci was born in the Bronx and began his career as a poet. In his first work in a visual art context in the late 1960's and early 1970's", the artist used his own body as a subject for photography, film, video, and performance. In the mid 70's, Acconci created audiovisual installations that turned exhibition spaces into community meeting places, and in the 80's he invited viewers to create artwork by activating machinery that erected shelters and signs. He also turned to the creation of furniture and to prototypes of houses and gardens in the late 80's. Most recently, the artist has focused on architecture and landscape design that integrates public and private space. As a group, the Acconci studio designs and builds public projects in parks, city streets," and city buildings."""," """""," ""vacconci.jpg"""," ""vacconci-a.jpg"""," """""," """""," """""," """""," ""0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirsten," ""Hassenfeld"""," """""," """""," """""," """""," ""Pixie Mix"""," ""2010"""," ""Found glass", metal, ceramic, plastic, wood, shell," enamel"""," ""Sculpture"""," ""25 vertical hanging elements"," each 8 feet tall"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Gran Kriegel Associates"""," ""Board of Education"""," ""School Construction Authority"""," ""ECC 361 @94"""," ""School"""," ""3530 Kings College Place"""," ""40.8804722875356"""," ""-73.8757590204477"""," ""Bronx"""," ""NY"""," ""10467-1507"""," ""Norwood"""," ""Bronx"""," ""7"""," ""D (Norwood 205th Street)"""," ""Pixie Mix is composed of 25 vertical hanging elements situated in ECC 361's front vestibule. The structures were created by threading modified glass", metal, wood and ceramic wares onto steel rods, creating forms that resemble turned spindles. The sculpture is comprised of materials found in thrift stores, scavenged or donated. Many of the smaller elements are jar lids and bottle caps. Viewers can hunt for recognizable utilitarian and decorative objects (including teapots," dolls and artificial fruit) within the stacked forms."""," ""Influenced by the decorative arts of the 18th and 19th centuries", Kirsten Hassenfeld creates objects, drawings and environments that reflect on human-kind's relationship to the material world, both fabricated and natural. In ten years of paper works, she used forms from jewelry, architecture, and landscape to build fantasy structures that evoke a world of plentitude and fragility. In more recent works, Hassenfeld has focused on the motifs of historic ceramic traditions, as they translate the natural world into something more stylized and tame, creating giant paper beaded structures that resemble enlarged Delft or Willow ware pieces. In her most current work, the artist continues to play with scale and surprise as she builds intricate sculptures that resemble turned wood and ivory forms from stacks of buttons," bottle caps and other throw-away items."""," ""Pixie Mix is constructed entirely from salvaged", used, and recycled objects threaded along vertical steel rods hung from the ceiling in the school's vestibule. The individual objects range from napkin rings and buttons to cake pans and vases. My purpose is to elevate the status of all the objects by integrating them into harmonious arrangements, obscuring the hierarchy between wanted and discarded objects. I am interested in how materials circulate in our environment, and how culture influences where objects originate and come to rest. In the context of ECC 361, I have embedded recognizable surprises for children to discover as they grow more familiar with the sculpture, such as nesting dolls and animal figurines. I hope that some viewers will be excited by the fanciful forms created from things as mundane as jar lids and thread spools. This may lead to a refreshed view of his or her environment, and how materials are used, reused," saved or wasted."""," ""khassenfeld-a.jpg"""," ""khassenfeld-b.jpg"""," ""khassenfeld-c.jpg"""," ""khassenfeld-d.jpg"""," """""," """""," ""118""",,,,,,,,,,,,,,,,,,,,,,
Maren," ""Hassinger"""," """""," """""," """""," """""," ""Ancestor Walk"""," ""1996"""," ""Concrete"," embedded artifacts"""," ""Architectural Integration"""," ""na"""," ""Accessible"""," ""Accessible"""," ""Gruzen Samton Steinglass"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 311"""," ""School"""," ""4862 Broadway"""," ""40.866719931364"""," ""-73.9239314943552"""," ""New York"""," ""NY"""," ""10034-3174"""," ""Inwood"""," ""Manhattan"""," ""12"""," ""A (207th Street - Inwood)"""," ""Inspired by Native American living sites that have been found near the school", Maren Hassinger created Ancestor Walk , a sloping wall that begins at the top of the school gate and descends to ground level at the playground. Hassinger designed objects that refer to prehistoric Native American culture, including fabric, vessels, tools, and arrowheads," and mounted them along the top of the wall or embossed them along the sides. The artist explains that the artwork is \""a memory piece which binds us to our past.\"" Themes presented in the wall continue in the playground's sitting area. The concrete cap on the bench has embossed designs of tools and arrowheads similar to the wall's concrete cap. There are two rectilinear windows cut into the wall"," with more vessels placed within them."""," ""Maren Hassinger is a public artist with permanent installations including: Twelve Trees #2 in Los Angeles", Necklace of Trees in Atlanta, Bushes at Socrates Sculpture Park, Plaza Planters and Tree Grates in Seattle, Tall Grasses on Roosevelt Island, Circle of Bushes at C.W. Post Campus, Cloud Room at Pittsburgh International Airport, and Evening Shadows at Cal State University. She has also received a Percent for Art commission for P.S. 8 in New York. While these projects were conceived and executed, she had three solo shows, Treachery and Consolation (1996) at the Trans-Hudson Gallery, Memory (1993) at the Benton Gallery, and in 1991 at the Gracie Mansion Gallery. She has exhibited in more than twenty-seven group shows during the same period, including the 1996 Twentieth Century American Sculpture at the White House, Exhibition IV. In 1996, she was the recipient of a Joan Mitchell Foundation Grant for Artists and was recognized by the International Association of Art Critics for her solo show at the Trans-Hudson Gallery. For the past five years," she has been an adjunct professor at S.U.N.Y. Stony Brook."""," """""," ""mhassinger-2.jpg"""," """""," """""," """""," """""," """""," ""119""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maren," ""Hassinger"""," """""," """""," """""," """""," ""Fence of Leaves"""," ""1995"""," ""Painted steel"""," ""Sculpture"""," ""25' x 3 city block"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Gruzen Samton Steinglass"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 8"""," ""School"""," ""465 West 167th Street"""," ""40.839003645358"""," ""-73.9368423074483"""," ""New York"""," ""NY"""," ""10032-4351"""," ""Washington Heights"""," ""Manhattan"""," ""12"""," ""A (168th Street - Washington Heights)"""," ""Maren Hassinger's painted steel fence and gate at P.S. 8 feature a tropical motif of leaves and trees. Mangrove", palm, ohia, and papaya trees, as well as leaves from philodendrons, Swiss cheese plants, and passionflowers twist and turn along the length of the fence," surrounding the school children with tropical foliage."""," ""Maren Hassinger is a public artist with permanent installations including: Twelve Trees #2 in Los Angeles", Necklace of Trees in Atlanta, Bushes at Socrates Sculpture Park, Plaza Planters and Tree Grates in Seattle, Tall Grasses on Roosevelt Island, Circle of Bushes at C.W. Post Campus, Cloud Room at Pittsburgh International Airport, and Evening Shadows at Cal State University. She has also received a Percent for Art commission for P.S. 8 in New York. While these projects were conceived and executed, she had three solo shows, Treachery and Consolation (1996) at the Trans-Hudson Gallery, Memory (1993) at the Benton Gallery, and in 1991 at the Gracie Mansion Gallery. She has exhibited in more than twenty-seven group shows during the same period, including the 1996 Twentieth Century American Sculpture at the White House, Exhibition IV. In 1996, she was the recipient of a Joan Mitchell Foundation Grant for Artists and was recognized by the International Association of Art Critics for her solo show at the Trans-Hudson Gallery. For the past five years," she has been an adjunct professor at S.U.N.Y. Stony Brook."""," ""Fence of Leaves surrounds the children with nature. -- Hassinger"," 1997"""," ""mhassinger.jpg"""," """""," """""," """""," """""," """""," ""120""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skowmon," ""Hastanan"""," """""," """""," """""," """""," ""Orbis Venustas"""," ""2001"""," ""Float-glass painting"""," ""Painting"""," ""116\"" x 145\"" x 14\"""""," ""Accessible"""," ""Accessible"""," ""Richard Dattner and Partners Architects"""," ""Board of Education"""," ""School Construction Authority"""," ""Early Childhood CenterPublic School 228"""," ""School"""," ""32-80 93rd Street"""," ""40.757086649537"""," ""-73.8752239197492"""," ""East Elmhurst"""," ""NY"""," ""11369"""," ""East Elmhurst"""," ""Queens"""," ""3"""," ""7 (90th Street - Elmhurst Avenue)"""," ""Skowmon Hastanan's Orbis Venustas is a vibrantly colored nine-panel work located in the entrance of the Early Childhood Center at P.S. 228. The artist worked with float-glass painting", a relatively new technique that involves sandblasting, acid etching, slumping, silk-screen printing, spraying, hand-painting, and computer design. The paintings' panels depict fanciful images of children in the midst of the changing seasons. The four seasons converge in the central panel, which features a circular spiraling galaxy," a symbol of eternity."""," ""Skowmon Hastanan is a glass artist. For this project", she used a relatively new technique called float glass painting, which involves sandblasting, acid etching, slumping, silkscreen printing, spraying, hand-painting, and computer design. The technique allows for a larger, light-proof, and more durable image when compared to traditional stained glass. Hastanan received her BFA from the School of Visual Arts in 1985. She has since exhibited extensively in New York, Chicago, Toronto, Budapest," and South Africa."""," ""PS 228's students are starting new experiences and learning concepts such as time and the seasons. Placing the art glass above the entrance door creates a welcoming signage for the new students. These children will be leaving home and participating in a new experience", very possibly," for the first time in their lives. My hope is to create a visually inspiring place that will help lessen the stress of going to school.\"" -- Hastanan"," 1999"""," ""shastanan.jpg"""," """""," """""," """""," """""," """""," ""121""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Brower," ""Hatcher"""," """""," """""," """""," """""," ""El Arbol de Esperanza"""," ""1995"""," ""Stainless steel", nickel-plated brass," bronze"""," ""Sculpture"""," ""17'6\"" x 7'6\"""""," ""Accessible"""," ""Accessible"""," ""Miceli Kulik Williams"""," ""Department of Parks and Recreation"""," ""Department of Parks and Recreation"""," ""Thomas Jefferson Park"""," ""Parks & Recreation"""," ""2180 First Avenue"""," ""40.7939250995492"""," ""-73.9369764178991"""," ""New York"""," ""NY"""," ""10029-2332"""," ""Upper East SideEast Harlem"""," ""Manhattan"""," ""11"""," ""6 (110th Street)"""," ""the walks of Thomas Jefferson Park. The polished stainless-steel trunk supports a globe constructed from a translucent matrix of color-coated stainless rods connected by nickel-plated brass fittings. With the guidance of the artist", students from River East School and the Thomas Jefferson Park Recreational Center created small bronze figures that are now displayed on the tree's branches. These objects, which include pizza slices, dogs, worms, and a bird in its nest," represent what the students recognize as common sights in the park."""," "". Brower Hatcher attended Vanderbilt University", Nashville, Pratt Institute, Brooklyn, and St. Martins School of Art, London. He is a member of the faculty of St. Martins School of Art and Bennington College, VT. His work has been extensively exhibited. Public commissions include works in Philadelphia, Pa; Minneapolis, MN; Phoenix, AZ; Roanoke, VA; Tampa, FL; Birmingham, AL; Madison, WI; and Houston, TX. Museum commissions include the Walker Art Center, Minneapolis; Museum of Art, Brigham Young University, Provo, UT; and the Museum of Art, SUNY, Plattsburgh," N.Y."""," ""The total work is a sculptural metaphor of nature", of the day to day activity of the park, and of the neighborhood. Elements and influences of the park are gathered together and synthesized as a spatial cosmology. -- Hatcher," 1993"""," ""bhatcher.jpg"""," """""," """""," """""," """""," """""," ""122""",,,,,,,,,,,,,,,,,,,,,,
Ralph," ""Helmick"""," ""Stuart"""," ""Schechter"""," """""," """""," ""Genius"""," ""2002"""," ""Bronze", cable-cast bronze," stainless-steel cable"""," ""Sculpture"""," ""na"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""School Construction Authority"""," ""Board of Education"""," ""School Construction Authority"""," ""Leon M. Goldstein High School for the Sciences"""," ""School"""," ""2001 Oriental Boulevard"""," ""40.5780448913574"""," ""-73.9341735839844"""," ""Brooklyn"""," ""NY"""," ""11235-2333"""," ""Brighton Beach"""," ""Brooklyn"""," ""15"""," ""B"," Q (Brighton Beach)"""," ""Hanging within the main entrance of the new Leon Goldstein High School for the Sciences floats a sculptural meditation on the nature of profound discovery. The central image is a Great Horned Owl in flight", created by hundreds of precisely fixed and suspended cast bronze elements. The owl, emblematic of wisdom, is formed by a dense array of symbols culled from language and science. Like a comet, the form becomes visually more porous as it moves toward the tail, and eventually dissolves into a particulate array, a sort of 'contrail of rationality.' Numerals, letters, and symbols in the owl form incorporate text, equations, and other kinds of embedded meaning. For example, a row of suspended numbers illustrating the decimal equivalent of Pi trails behind the sculpture. Elsewhere, the sculpture includes letters spelling out dozens of names-geniuses in their fields-drawn from a variety of cultures and historical epochs, and viewers examining the undersides of the wings will decipher a quote by Walt Whitman.  The subject matter is simultaneously: pastoral-depicting an elegant movement of avian activity; scientific-relating to the activities within the building; and philosophical-a meditation on the nature of esthetic and technological pursuits. Science infuses the sculpture, evoking interpretations relating to phase change (physics), the nature of perception (biologyphysiology)," and human experience (phenomenology)."""," ""Ralph Helmick obtained a BA in American Studies from the University of Michigan", attended the Skowhegan School of Painting and Sculpture in Maine, and received an MFA in Sculpture from the School of the Museum of Fine Arts, Boston and Tufts University, Medford, MA. Early in his career Helmick exhibited his work in numerous solo shows in Boston and New York, as well as in group exhibitions in museums throughout New England. Among his many awards is a National Endowment for the Arts  New England Foundation for the Arts Fellowship, and several design honors for his public artwork. He has taught extensively - at the School of the Museum of Fine Arts, Boston and at the Penland School of Crafts in North Carolina, and as a visiting artist at numerous colleges and universities.  Stuart Schechter is a rocket scientist by training and artist by vocation. He graduated with a Bachelor of Science degree in Mechanical Engineering from Wayne State University (MI) and received a Master of Science degree from the Massachusetts Institute of Technology. He has worked on a variety of airborne and space programs at MIT Lincoln Laboratory and holds a handful of patents. After MIT, Schechter continued his long-standing interest in visual art through studies at the School of the Museum of Fine Arts, Boston, where he took continuing education courses in drawing, painting and sculpture. In addition to his commissioned work, Schechter has also taught course on public art and served on panels discussing the impact of technology on the creative process.  Helmick and Schechter have been collaborating since 1994. A shared interest in the mechanics of visual perception, especially the consolidating properties of human vision, led the artists to their overarching concept for their first collaboration, Ghostwriter, an interior suspended sculpture for the Evanston, IL, Public Library. Their sculpture for the Melvin Price Federal Courthouse in East St. Louis, IL, Jurisprudents," won a GSA National Design Award in 2001."""," """""," ""rhelmick.jpg"""," ""rhelmick-a.jpg"""," ""rhelmick-b.jpg"""," ""rhelmick-d.jpg"""," """""," """""," ""123""",,,,,,,,,,,,
Barry," ""Holden"""," ""Nina"""," ""Yankowitz"""," """""," """""," ""The Garden of Games", The Garden of Scientific Ideas, Gate," and Clock Tower"""," ""1997"""," ""Granite", concrete, neon," stainless steel"""," ""Architectural Integration"""," ""40' x 8'"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""School Construction Authority"""," ""Board of Education"""," ""School Construction Authority"""," ""Intermediate School 145"""," ""School"""," ""33-44 80th Street"""," ""40.754517763853"""," ""-73.887079283595"""," ""Jackson Heights"""," ""NY"""," ""11372"""," ""Jackson Heights"""," ""Queens"""," ""3"""," ""7 (82nd Street - Jackson Heights)"""," ""Barry Holden and Nina Yankowitz created The Garden of Games", an interactive environment that features games such as chess and backgammon constructed of granite mosaics and inlaid on to four tables and twenty cast concrete benches. The floor of the plaza is fashioned from different-colored squares of concrete, creating the illusion that even the plaza itself is a game board. Similarly, The Garden of Scientific Ideas features a game-like learning environment. Sited on a terrace, four interactive bronze sculptures sit on stacked concrete bases and educate students on the basic principals of science, including sound, motion," gravity and light. The artists also created the decorative wrought-iron Gate and neon Clock Tower which stands prominently in the schoolyard."""," ""Nina Yankowitz and Barry Holden are artists who have created numerous public art projects. They have created public benches that are humorous houses tipped on their side for a park in Santa Monica", California, two projects sponsored by the Seattle Arts Commission, as well as a granite and brass inlaid floor for the Department of Transportation in Freehold," New Jersey. Yankowitz created handmade tiles for the 51st Street and Lexington Avenue subway underpass in New York. Current works in process include proposals for large environmental artworks that are created with specifically site related objects that are either fractured or embedded in their mosaic walls in the form of forced perspective rooms or dioramas. Other projects include the use of light to create a feeling of movement or floating."""," """""," ""bholden.jpg"""," """""," """""," """""," """""," """""," ""124""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robyn," ""Holder"""," """""," """""," """""," """""," ""Everyday Courage"""," ""2003"""," ""Steel boxes"," found objects"""," ""MuralScultpure"""," ""na"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Polshek Partnership Architects"""," ""Department of Education"""," ""School Construction Authority"""," ""High School of Law Enforcement and Public Safety"""," ""School"""," ""116-25 Guy Brewer Boulevard"""," ""40.6982078552246"""," ""-73.7955780029296"""," ""Jamaica"""," ""NY"""," ""11434-1614"""," ""South Jamaica"""," ""Queens"""," ""12"""," ""E (Jamaica Center - ParsonsArcher)"""," ""Everyday Courage is Robyn Love's ambitious installation in Queen's High School for Law Enforcement and Public Safety. Love's project consists of 300 steel boxes filled with photos and other ephemera that relate to the maintenance of public safety. Collected from various sources including law enforcement and public safety agencies", these boxes include memorabilia and photographs of Nelson Mandela, Martin Luther King, Jr., and local heroes. By emphasizing the importance of acts by grassroots activists and renowned public servants, students are constantly reminded of the deeds of inspiring individuals. Students and faculty can view the items inside the boxes through a glass panel, encouraging them to physically and metaphorically take a closer look at the world around them. Love devoted 70 boxes specifically to the September 11th, 2001 tragedy, which impacted public service communities dramatically. All boxes can be found in the lobby areas of the school's five floors," serving as a constant reminder of the potential public servants have to change the world."""," ""Robyn Love is an artist living in Queens", NY, who is best known for her large scale, hand-knit or crocheted site-specific art works. Her work frequently includes a participatory element from the community housing the project. Love has exhibited in museums and galleries in New York City and New England, including the Bronx Museum of Art, the Queens Museum of Art, the Newport Art Museum, and Art in General. She has been the recipient of awards from the New York State Council on the Arts and the Queens Council on the Arts," as well as private foundations."""," ""Everyday Courage is based on the concept of a Wall of 1000 Buddhas like those found in temples in South and Southeast Asia. The wall contains literally 1000 images of Buddha", often arranged in a grid pattern. It is an illustration of the idea that 1000 Buddhas will live among us during our eon. Likewise, I have arranged objects and photographs related to law enforcement, public safety, and community service in a grid pattern throughout the lobbies of the high school to encourage students considering careers in law enforcement and public safety to contemplate the many ways one can be of service to others. Whether at eye level, or 20 feet in the air, or down near your feet, all the items offer a proposition about the meaning of heroism and a life lived for the public good. -- Love," 2003"""," ""rholder.jpg"""," ""rholder-a.jpg"""," """""," """""," """""," """""," ""125""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin," ""Holder"""," """""," """""," """""," """""," ""Rites of Passage"""," ""1997"""," ""Stained glass", wood, paint," ceramics"""," ""Mural"""," ""Stained glass: 6' x 5'"," 2nd Floor West 4' x 9' x 8\"""," 3rd Floor East: 4' x 9' x 8\"""," 3rd Floor West: 4' x 9' x 8\"""," 4th Floor West 4' x 9' x 8\"""""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Rothzeid", Kaiserman," Thomson & Bee"""," ""Board of Education"""," ""School Construction Authority"""," ""High School of Redirection"""," ""School"""," ""226 Bristol Street"""," ""40.6658419221639"""," ""-73.9116758108139"""," ""Brooklyn"""," ""NY"""," ""11212-5641 """," ""Brownsville"""," ""Brooklyn"""," ""16"""," ""3 (Rockaway Avenue)"""," ""Located at the High School Redirection", Robin Holder's Rites of Passage includes a series of stained-glass windows and painted wooden reliefs depicting aspects of student life. The windows, located in the school's lobby and second floor conference room, feature students working and studying together. The painted reliefs, located at each end of the school's hallways," are encased in recessed cabinets and surrounded by sky-blue and pale-green ceramic tiles."""," ""Robin Holder attended the High School of Music and Art in New York City", the Art Students League of New York, and Werkgroep Uit Het Amsterdam Grafisch Atelier in Amsterdam. She has received numerous grants and awards and is currently working on her fourth site-specific commission. Her work has been exhibited throughout the country and is part of several public art collections. She has extensive teaching experience and has received a number of arts-in-education residencies. Her El Museo del Barrio arts project was highlighted by Sesame Street. She is featured in a cultural commercial for television produced by the New York Foundation for the Arts. She has worked with the Printmaking Workshop, the New York State Council for the Arts, the Studio in a School, the Children's Museum of Manhattan," and Pratt Institute."""," ""The imagery symbolizes moving from one stage of life's path towards another with a sense of inquiry", collaboration, and self-determination. The intention is to use architectural features of the building to create a work that reflects and celebrates the members of the school community whose goal is to prepare young adults for a productive future with conviction and integrity. -- Holder," 1997"""," ""rholder-2-a.jpg"""," ""rholder-2-b.jpg"""," ""rholder-2-c.jpg"""," """""," """""," """""," ""126""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin," ""Holder"""," """""," """""," """""," """""," ""Camino des Animales"""," ""1992"""," ""Cement"""," ""Landscape Design"""," ""6","500 square feet"""," ""Accessible"""," ""Accessible"""," ""Gruzen Samton Steinglass"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 5"""," ""School"""," ""3703 Tenth Avenue"""," ""40.8589944988489"""," ""-73.9228431880474"""," ""New York"""," ""NY"""," ""10034-1860"""," ""Fort GeorgeInwood"""," ""Manhattan"""," ""12"""," ""1 (Dyckman Street)"""," ""Robin Holder's cement paving design for the entry plaza of P.S. 5 features large", colorful animal shapes, including bears, butterflies, fish, cats, and birds, carved into the paths leading to the school. The artwork's deep red paving, framed by a brilliant turquoise border," forms a geometric design that echoes the architecture of the school building."""," ""Robin Holder attended the High School of Music and Art in New York City", the Art Students League of New York, and Werkgroep Uit Het Amsterdam Grafisch Atelier in Amsterdam. She has received numerous grants and awards and is currently working on her fourth site-specific commission. Her work has been exhibited throughout the country and is part of several public art collections. She has extensive teaching experience and has received a number of arts-in-education residencies. Her El Museo del Barrio arts project was highlighted by Sesame Street. She is featured in a cultural commercial for television produced by the New York Foundation for the Arts and has worked with the Printmaking Workshop, the New York State Council for the Arts, the Studio in a School, the Children's Museum of Manhattan," and Pratt Institute."""," """""," ""rholder.jpg"""," ""rholder-a.jpg"""," """""," """""," """""," """""," ""127""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug," ""Hollis"""," """""," """""," """""," """""," ""Weather Pavilion"""," ""1994"""," ""Stainless steel", stone," weather"""," ""Architectural Integration"""," ""14' x 14' x 23'"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Michael Fieldman & Partners"""," ""Board of Education"""," ""School Construction Authority"""," ""PublicIntermediate School 217"""," ""School"""," ""645 Main Street"," Roosevelt Island"""," ""40.763836428523"""," ""-73.9479714632034"""," ""New York"""," ""NY"""," ""10044-0010"""," ""Roosevelt Island"""," ""Manhattan"""," ""8"""," ""F (Roosevelt Island) or Tramway Station"""," ""Doug Hollis's work at P.S.  I.S. 217 on Roosevelt Island features a stainless-steel", gazebo-like structure with four columns supporting weather-reading instruments, including an anemometer, a barometer, a thermometer, and a rain gauge. Weather Pavilion also features instruments such as the central wind organ, a compass, and a wind-zither, which respond sonically to the changing wind. Hollis placed a circular seating area of stone benches within the pavilion," to serve as a gathering place for students or as an outdoor classroom."""," ""Douglas Hollis was born in Ann Arbor", Michigan and continued to live there throughout the years of his college education at the University of Michigan. From an early age he had a deep interest in Native American culture. His experiences traveling in Oklahoma to live with Indian families has strongly influenced his life and his art ever since. Hollis began working with natural phenomena and responsive environment structures in the later part of the 1960's. At that time he completed several projects with musicians, dancers, film makers, engineers, and physicists. In the early seventies, he began searching for the forces which affected the landscape. In 1977, he built Sound Site, a number of wind activated sound structures along the Niagara River. Since then, he has continued to work in sound structures and landscape, working on-site and establishing a rapport with the dynamics of the site and with the people who encounter these places. He is becoming more involved with public art and says he is," \""making places which have an oasis-like quality where people can pause to catch their spiritual breath in the midst of their everyday lives.\"""""," ""I want the pavilion to be useful in many ways", and as a place where cross-disciplinary circular activities can take place. The works' proximity to the Art and Music Building makes an important conceptual bridge between these creative disciplines and the investigative inquiry of science. -- Hollis," 1992"""," ""dhollis.jpg"""," """""," """""," """""," """""," """""," ""128""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wopo," ""Holup"""," """""," """""," """""," """""," ""The Jim Thorpe Garden Fence and Landscaping"""," ""1996"""," ""Steel", cast iron," landscaping materials"""," ""Mural"""," ""42\"" x 185'"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Lee Harris Pomeroy Associates"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 370"""," ""School"""," ""3000 West First Street"""," ""40.5776748657227"""," ""-73.9698638916016"""," ""Brooklyn"""," ""NY"""," ""11224-3702"""," ""Brighton Beach"""," ""Brooklyn"""," ""13"""," ""Q (Ocean Parkway)"""," ""Located at P.S. 370", Wopo Holup's 184 foot (56 m) long fence of welded steel and cast iron serves as a tribute to the Olympic athlete Jim Thorpe. Incorporated into the fence, which surrounds two small gardens in front of the school, is a short biography of Thorpe's life cast in 6-inch (15 cm) iron letters. Running the length of the fence," the text reads: \""Jim Thorpe U.S. athlete recognized the greatest all-around athlete of the 20th century. Born May 22", 1887 Oklahoma Territory Sac and Fox Tribe. Twice named halfback on All-American teams won pentathlon and decathlon 1912 Olympic games. After it was discovered he had played semi-pro baseball summers 1910-11 his medals were taken and Olympic records erased," died 1953. Amateur status and medals restored 1983.\"""""," ""New York City's Percent for Art Program along with the Board of Education and the School Construction Authority has granted Wopo Holup two public art commissions. One", Runaway Rainbow, P.S. 92, Queens, NY, was completed in 1992, and Jim Thorpe Garden Fence in 1996. She has also completed commissions for the state of New Jersey, MTA's Art for Transit in New York City, and the New Mexico Art in Public Places Program. Holup has had one person exhibitions in New York, Chicago, and Lancaster, PA, along with many group shows including Contemporary Public Art in the Bronx, Lehman College. She was awarded a CAPS Fellow from the New York State Council on the Arts in 1984. She is currently working on a piece for the North Carolina Council on the Arts at the University of North Carolina," Chapel Hill."""," ""The school name prompted the idea for this piece", its front yard, the form. Jim Thorpe's daughter, Grace Thorpe, who lives in Yale, Oklahoma, verified the text, and Joe Sunshine, a student, helped with the plantings -- all in all, it was a nice collaboration. -- Holup," 1997"""," ""wholup.jpg"""," """""," """""," """""," """""," """""," ""129""",,,,,,,,,,,,,,,,,,,,,
Wopo," ""Holup"""," """""," """""," """""," """""," ""Runaway Rainbow"""," ""1992"""," ""Cast cement and ceramic tile"""," ""Mural"""," ""Cast cement Relief Mural: 8'6\"" x 20'"," Ceramic Tile Rainbow: 1'6\"" x 70'6\"""""," ""Accessible"""," ""Accessible"""," ""Gruzen Sampton Steinglass"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 92"""," ""School"""," ""99-01 34th Avenue"""," ""40.756045"""," ""-73.868744"""," ""Corona"""," ""NY"""," ""11368-1009"""," ""East CoronaEast Elmhurst"""," ""Queens"""," ""3"""," ""7 (Junction Blvd)"""," ""Wopo Holup's Runaway Rainbow at P.S. 92", a cast cement mural of a garden bordered by a rainbow, originates in the school lobby and runs through its halls into the cafeteria. The garden features images of potatoes, carrots, tulips, pumpkins, black rabbits, and mice," all of which were selected by the school's fourth- and fifth-grade students. The 71 foot (21.6m) long rainbow crosses the garden and enters the cafeteria where it zigzags up a wall and \""escapes\"" through a skylight."""," ""In addition to Runaway Rainbow", Wopo Holup has created Jim Thorpe Garden Fence at P.S. 370 in Brooklyn. She has also completed commissions for the State of New Jersey, the MTA Arts for Transit of New York City, and the New Mexico Art in Public Places Program. She is currently working on a piece for the North Carolina Council on the Arts at the University of North Carolina," Chapel Hill. She has had one-person exhibitions in New York and Chicago and the Contemporary Public Art in the Bronx exhibit at Lehman College. She was awarded a CAPS Fellow from the New York State Council on the Arts in 1984."""," ""The students at P.S. 92 selected carrots and potatoes for their fantasy garden and the idea for an underground section of the mural was presented. These moments where ideas are formed and exchanged are an exhilarating aspect of public art. Thanks P.S. 92 fourth and fifth graders. -- Wopo Holup"," 1996"""," ""wholup-2-a.jpg"""," """""," """""," """""," """""," """""," ""130""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
