artist,date,title,source,percent funded?
D'Ascenzo Studios,1917,JESSE FRANCES SMITH FORD MEMORIAL WINDOW,education,
Damien Davis,2021,Empirical Evidence ,mta,
Dan Funderburgh,2016,Eureka ,mta,
Dan Funderburgh,2018,SHOAL,mta,
Dan George,1999,Mermade/Dionysus and the Pirates ,mta,
Dan Rico,1940,THE SEVEN AGES OF MAN,education,
Dan Rico,1940,SUBWAY DRILLERS,education,
Dan Rico,1940,EVENING MEAL,education,
Dan Sinclair,1990,Fast Track and Speedwheels ,mta,
Dan Zeller,2012,Internal Connectivity ,mta,
Daniel Celentano,,CHILDREN IN CREATIVE & CULTURAL ACTIVITIES,education,
Daniel del Valle,2004,A Trip Up the Bronx River ,mta,
Daniel Draddy,1866,Soldiers Monument,public,
Daniel French,1898,Richard Morris Hunt Memorial,public,
Daniel French,1917,Lafayette Memorial,public,
Daniel French,1923,Alfred Tredway White Memorial,public,
Daniel French,1973,Admiral George Dewey,public,
Daniel Galvez,1997,Homage to Malcolm X,percent,yes
Daniel Hauben,2007,The El ,mta,
Daniel LaRue Johnson,1980,Peace Form One,public,
Daniel Rosenbaum,1991,WONDROUS WINDOWS,education,
Dave McQueen,2018,Endless Sea,mta,
David Bierk,1990,AFTER RYDER: MOONLIGHT MARINE . . . SEE NOTES,education,
David Bierk,1990,AFTER MONET . . . SEE NOTES,education,
David Bierk,1990,AFTER RYDER CONSTANCE,education,
David Burke,1937,COUNTRY RAILROAD TRACKS,education,
David Burke,1940,INDUSTRIAL WORKS,education,
David Dunlop,1988,BLUE RESERVOIR,education,
David Dunlop,1988,BLUE RESERVOIR II,education,
David Dunlop,1988,"CONNECTICUT MILL POND I, CONNECTICUT MILL POND II",education,
David Dunlop,1988,POOLED IN A LEAF,education,
David Dunlop,1988,OCTOBER CREEK,education,
David Feinstein,1937,THE BOSS,education,
David Freed,1982,"CRUEL APRIL #1, CRUEL APRIL #2",education,
David Grubb,,INDIAN SUMMER,education,
David Gutman,1937,"""SPORTS ACTIVITIES""",education,
David Holleman,1976,"""ASTRONOMY""",education,
David Holleman,1976,"""THE LIVELY ARTS""",education,
David Holleman,1977,"""THE VISUAL ARTS""",education,
David Holleman,1977,"""SPORTS AND GAMES""",education,
David Levine,1972,CARICATURE OF NORMAN ROCKWELL,education,
David Maisel,2003,Terminal Mirage 22,percent,yes
David Margolis,1934,"""THE HISTORY OF AMERICAN MUSIC""",education,
David Olander,,"LEON M. GOLDSTEIN, PRESIDENT",education,
David Opdyke,2010,FIGURE IT OUT,education,
David Opdyke,2011,Figure It Out,percent,yes
David Provan,1992,Yab-Yum ,mta,
David Raymond,,RESCUE,education,
David Saunders,1992,Conductor's Watch and Key Chain,mta,
David Saunders,1994,Firehat,percent,yes
David Saunders,1987,Seat,public,
David Saunders,1994,Fire hat,public,
David Storey,2019,Sea City Spin ,mta,
David Wilson,1988,Transit Skylight ,mta,
David Wilson,1989,Untitled,percent,yes
Dawound Bey,1991,Community Photography Project,percent,yes
Dayton Brandfield,1937,FULTON FISH MARKET,education,
Dayton Brandfield,1937,CLOWN ON UNICYCLE,education,
Dean Cornwell,,VARIOUS - STUDIES FOR MURALS,education,
Deane Keller,1923,"""DECORATIVE STAINED GLASS""",education,
Deane Keller,1933,"""VALLEY FORGE""",education,
Deborah Brown,1994,Platform Diving ,mta,
Deborah Brown,2001,The Seasons,percent,yes
DeBorah Goletz,1998,Postcards from Sheepshead Bay ,mta,
Deborah Masters,2010,Coney Island Reliefs ,mta,
Deborah Wasserman,2004,CULTURE MIX,education,
Deborah Wasserman,2006,DRAGON,education,
Dennis Adams,1995,TRIBUTARIES,education,yes
Dennis Oppenheim,2006,Rising and Setting ,mta,
Dennis Sheahan,1879,Thomas Moore,public,
Derek Fordjour,2018,PARADE ,mta,
Derek Lerner,2017,AVEX1-6(station) ,mta,
Derrick Adams ,2019,Around the Way,mta,
Desdemona Minchillo,2011,IT'S OUR BIG BANG,education,
Diana Al-Hadid,2018,The Arches of Old Penn Station; The Arc of Gradiva ,mta,
Diana Cooper,2009,OUT OF THE CORNER OF MY EYE,education,yes
Diane Carr,2018,Outlook ,mta,
Dimitri Gerakaris,1999,Woodside Continuum ,mta,
Dina Bursztyn,1995,PATHS AND STARS,education,
Dina Bursztyn,2006,Views from Above ,mta,
Dina Melikov,1937,HEAD OF A CHILD,education,
Dolly Perutz,1991,Bird Flying Machine,public,
Domenico Facci,1974,"""PLAY AND STUDY""",education,
Domenico Facci,1976,BUST OF PABLO CASSALS,education,
Domenico Mortellito,1934,"""PETROLEUM INDUSTRY""",education,
Domenico Mortellito,1975,GIFT OF FREEDOM,education,
Donald De Lue,1953,"""CREATION OF THE UNIVERSE""",education,
Donald De Lue,1964,Rocket Thrower,public,
Donald De Lue,1967,George Washington as Master Mason,public,
Donald Lipski,1998,THE LAGUARDIA SUITE,education,yes
Donald Lipski,1998,Sirshasana ,mta,
Donna Dennis,1986,VIEWS OF WASHINGTON MARKET THROUGH THE ...,education,
Donna Dennis,1988,DREAMING OF FAR AWAY PLACES:  THE SHIPS COME TO WASHINGTON MARKET,education,
Donna Dennis,1996,DAEDALUS BEDAZZLED,education,yes
Donna Dennis,1990,Dreaming of Far Away Places,percent,yes
Donna Levinstone,1989,UPSTATE MORNING,education,
Donna Sanderwick,,"TRANSFER CEREMONY OCTOBER 18, 1867",education,
Donna Standerwick,1976,TRANSFER OF ALASKA,education,
Dorothy Gerhardt,,DRESS OF 1834 - 40,education,
Dorothy Koppelman,,ROSES,education,
Doug & Mike Starn,2009,"See it split, see it change ",mta,
Douglas Abdell,1979,Eaphae-Aekyad #2,public,
Douglas Abdell,1979,Kryeti-Aekyad #2,public,
Douglas Hollis,1994,WEATHER PAVILION,education,yes
Duke Riley,2011,Be Good or Be Gone ,mta,
Dunoyer Segonzuc,,"""LANDSCAPE WITH RIVER""",education,
E Kager,,PORTRAIT OF PRINCIPAL (MAN SITTING HOLDING GLASSES),education,
E Rushnlatt,,GLENSFOOT FARM,education,
Eamon Ore-Giron,2019,People's Instinctive Travels: Homage to the Tribe ,mta,
Eastman Johnson,1933,"""SURRENDER OF YORKTOWN 1781""",education,
Eastman Johnson,1989,LAKE NEAR 59TH STREET,education,
Ed Carpenter,1997,Ojo,percent,yes
Ed Guthrie,,DANIEL MORGAN- REVOLUTIONARY WAR HERO,education,
Ed Kopel,2012,Brooklyn Bucolic ,mta,
Ed Mcgowin,1997,WORK HISTORY,education,yes
Ed McGowin,1999,Bayside Story,mta,
Ed Rath,1993,THE GREAT STRUGGLE (STUDY),education,
Ed Rath,1999,WE ARE THE FUTURE,education,
Ed Rath,1999,JUMP ROPE,education,
Ed Wilson,1976,MIDDLE PASSAGE,education,
Edgar Degas,,DANSEUSE,education,
Edgar Walter,1914,Bear and Faun,public,
Edith Woolf,1923,"""CHILDREN PLAYING VARIOUS GAMES IN FIELD""",education,
Edith Woolf,1925,"""AMERICA IN THE MAKING""",education,
Edith Woolf,1927,"""NURSERY TALES""",education,
Edmond Amateis,1948,"AS YE SOW, SO SHALL YE REAP",education,
Edmond Quinn,1927,Victor Herbert,public,
Edmund Cortez,1963,ANIMALS OF THE PRAIRIE,education,
Edna Hershman,1941,"""INDUSTRY AND FARMING""",education,
Eduardo Raimirez,1973,UNTITLED (HEXAGONAL SCULPTURE),education,
Eduardo Villamizar,1973,Columnade,public,
Edward Buyck,1950,"""STAMPING MILL""",education,
Edward Child,1936,"""GILBERT S. BLAKELY PRINCIPAL 1913-1925",education,
Edward De Voe,1976,FREEDOM OF LIBERTY,education,
Edward Kemeys,1883,Still Hunt,public,
Edward Laning,1955,"WOODROW WILSON, ANDREW JACKSON",education,
Edward Laning,,PASSAGE TO INDIA,education,
Edward Menshekoff,1965,"""YOUNG PEOPLE""",education,
Edward Sanford,1934,Genius of Administration,public,
Edward Sanford,1934,Triumph of Government,public,
Edwin Blashfield,1920,THE GRADUATE,education,
Edwin Blashfield,1930,"""THE GRADUATE""",education,
Edwin Child,1915,RUPERT P. THOMAS,education,
Edwin Child,1920,JOHN HOLLEY CLARK,education,
Edwin Deming,1907,GOV. MORRIS ADDRESSING THE CONVENTION FOR..,education,
Edwin Deming,1907,THE FIRST TREATY OF PEACE MADE BETWEEN...,education,
Effim Sherman,1940,BAND CONCERT,education,
Eileen Barry,1989,Rockaway Women Veterans Monument,public,
Eldzier Cortor,1976,"DANCE, MUSIC, ART",education,
Elemer Polony,1960,"""THE MUSES AS DRAMA, MUSIC, AND SCIENCE""",education,
Elemer Polony,1962,YOUTH ACTIVITIES,education,
Elemer Polony,1967,"ARTS & ARCHITECTURE, CHEMISTRY, ASTRONOMY",education,
Elemer Polony,1978,"""ABSTRACT FORMS IN SPACE""",education,
Elfriede Abbe,,THORVALD'S COLONY,education,
Eli Jacobi,1940,RAIN  (FROM WPA BOOK OF GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,STEVE  (FROM WPA BOOK OF GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,THE NEW DEAL - PRO & CON  (FROM BOOK OF WPA GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,MAXIE'S MOOSE (FROM BOOK OF WPA GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,THE GRAND WINDSOR LOBBY (FROM BOOK OF WPA PRINTS ACCESSION # 71228),education,
Eli Jacobi,1940,THE GRAND WINDSOR LOUNGE (FROM BOOK OF WPA PRINTS ACCESSION # 71228),education,
Eli Jacobi,1940,BAR AND GRILL (FROM WPA BOOK OF GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,ALL NIGHT MISSION (FROM BOOK OF WPA GRAPHICS ACCESSION # 71228),education,
Eliot Lable,1999,PEOPLE IN GEAR,education,
Elisabeth Condon,2018,Urban Idyll ,mta,
Elizabeth Case,1975,FREEDOM TO BEAR ARMS,education,
Elizabeth Case,1976,WOMEN'S RIGHTS IN THE UNITED STATES OF AMERICA,education,
Elizabeth Case,1976,WOMENS RIGHTS IN THE UNITED STATES OF AMERICA,education,
Elizabeth Catlett,2003,Ralph Ellison Memorial,public,
Elizabeth Grajales,1992,WHO ELSE SHARES OUR WORLD,education,yes
Elizabeth Grajales,1995,STORIES IN CLAY,education,
Elizabeth Grajales,1995,WHAT A WONDERFUL WORLD,education,yes
Elizabeth Grajales,1998,When the animals speak,mta,
Elizabeth Murray,1996,Blooming ,mta,
Elizabeth Murray,2001,Stream ,mta,
Elizabeth Olds,1931,STEEL'S KITCHEN GARDEN,education,
Elizabeth Olds,1936,RHYTHM BAND WPA,education,
Elizabeth Olds,1937,CAMERA CLUB,education,
Elizabeth Olds,1938,BICYCLE RACE,education,
Elizabeth Olds,,HARLEM MUSICIANS,education,
Elizabeth Turk,2000,New York City Sewer Covers,public,yes
Ellen And Allan Wexler,1999,ABSTRACTIONS I.S. 254,education,
Ellen And Allan Wexler,1999,DRAWING P.S. 340/ A COORDINATED PLANE PATIO,education,
Ellen Driscoll,1998,"As Above, So Below ",mta,
Ellen Harvey,2005,"Look Up, Not Down ",mta,
Ellen Harvey,2009,The Home of the Stars ,mta,
Ellen Harvey,2013,Mathematical Star,public,
Elliot Means,1938,PLAY,education,
Elliot Means,1938,OASIS,education,
Ellsworth Ausby,2004,Space Odyssey ,mta,
Elton Fax,1984,"""LOUIS ARMSTRONG""",education,
Elyn Zimmerman,2009,Canal Waterworks,public,
Emil Siebern,1935,Cormorants,public,
Emil Siebern,1935,Eagles and Vultures,public,
Emil Siebern,1935,Pursuit,public,
Emil Siebern,1935,The Waterhole in the Jungle,public,
Emilio Perez,2019,Fluxus / Rhythmus ,mta,
Emily Fuller,1972,NEW YORK CITY LANDSCAPE MAP POLLUTION # 4,education,
Emma Amos,1994,THE SKY'S THE LIMIT,education,yes
Emma Stebbins,1873,Bethesda Fountain,public,
Emma Stebbins,1934,Christopher Columbus,public,
Emmett Wigglesworth,1997,ELATED ELDERS,education,
Emmett Wigglesworth,1998,TUNE INTO TRUTH,education,
Emmett Wigglesworth,2000,WE ARE THE CHILDREN,education,yes
Emmett Wigglesworth,1994,CommUnion ,mta,
Eric Bransby,1980,WESTWARD EXPANSION SETTLEMENT OF THE PLAINS,education,
Eric Carle,2000,"""BIRD AND SUN COLLAGE""",education,
Eric Fischl,2001,The Garden of Circus Delights ,mta,
Eric Fischl,2000,Soul In Flight: Arthur Ashe Memorial,public,
Eric Maunsbach,1941,YOUNG MAN IN THE COSTUME OF A MAJO,education,
Eric Maunsbach,1941,MRS. GRACE ELLIOT,education,
Eric Maunsbach,1941,"""THE OLD WOMAN""",education,
Eric Mose,1936,POWER,education,
Eric Pryor,1999,Life and Continued Growth ,mta,
Ernest Crichlow,1968,"""LEWIS HOWARD LATIMER""",education,
Ernest Fiene,1937,"""FASHION TRADE""",education,
Ernest Fiene,1940,HISTORY OF THE NEEDLECRAFT INDUSTRY,education,
Ernest Fiene,1955,THOMAS JEFFERSON - GEORGE WASHINGTON,education,
Ernest Peixotto,1933,"""WASHINGTON THE SOLDIER"" AND ""OUR FRENCH ALLIES"".",education,
Ernest Trova,1980,PROFILE CANTO XI,education,
Ernst Herter,1899,Heinrich Heine Fountain,public,
Ernst Plassman,1872,Benjamin Franklin,public,
Ernst Plassmann,1872,FRANKLIN STATUE (BENJAMIN),education,
Ernst Plassmann,,GUTENBERG STATUE (JOHANNES),education,
Ester PartegÃ s,2015,The Source,public,
Ethel Cutler,1959,CAPE CANAVERAL,education,
Ethel Cutler,1962,"FRONDS II, ALSO TITLED DESERT LIFE",education,
Ethel Cutler,1964,GROWTH (IN MEMORY OF JFK),education,
Ethel Cutler,1969,A GARDEN NEAR WASHINGTON SQUARE,education,
Ethel Cutler,,AUTUMN IN CENTRAL PARK,education,
Ethel Cutler,,BOATS,education,
Ethel Cutler,,THE BLIND LADY'S DILEMMA,education,
Ettore Ximenes,1909,Giovanni da Verrazzano,public,
Ettore Ximenes,1921,Dante Alighieri,public,
Eugene Morahan,1921,Carroll Park Memorial,public,
Eugene Savage,1932,Bailey Fountain,public,
Eugenie Tung,2007,16 Windows ,mta,
Eung Ho Park,2003,BOWLING BALL CURTAIN,education,yes
Eung Ho Park,2003,BOTTLE CAP EYES,education,
Evelyn Hofer,1966,SKY DUBLIN,education,
Evelyn Page,1976,TRIUMPH AND TRAGEDY,education,
Everet,2018,A portrayal of life at mill creek,mta,
Evergon,1988,MOTHER AND CHILDREN,education,
Evergon,1988,"ALLEGORY ITALY, GERMANY",education,
F Read,,"""PILGRAMS ARRIVING""",education,
Faith Ringgold,1994,CROWN HEIGHTS CHILDREN'S HISTORY STORY QUILT,education,yes
Faith Ringgold,1996,Flying Home: Harlem Heroes and Heroines (Downtown and Uptown) ,mta,
Fay Moore,1976,FREEDOM TO COMPETE,education,
Federico Castellon,1934,"""ADVANCEMENT OF SCIENCE""",education,
Felipe Galindo,2008,Magic Realism in Kingsbridge ,mta,
Felix De Weldon,,"""U.S. MARINE CORPS WAR MEMORIAL""",education,
Firelei BÃ¡ez,2018,"Ciguapa Antellana, me llamo sueÃ±o de la madrugada (who more sci-fi than us) ",mta,
Florence Lundborg,1926,"""GARDEN OF INSPIRATION""",education,
Florence Lundborg,1932,QUEST FOR KNOWLEDGE,education,
Florrie Gotlib,1986,? OF IN THE BEGINING,education,
Frances Gallardo,2018,Line to Line ,mta,
Frances Grimes,1915,THE LEGEND OF SLEEPY HOLLOW,education,
Frances Sarason,1988,"""BAYARD RUSTIN""",education,
Frances Valesco,1986,DANCING LIGHTLY,education,
Francesco Simeti,2009,ANIMALITY,education,yes
Francesco Simeti,2012,Bensonhurst Gardens ,mta,
Francis Bevilacqua,1973,SPORTS,education,
Francis Bradford,1957,"""ARTS, LETTERS, SCIENCES""",education,
Francis Bradford,1959,THE PHYSICAL SCIENCES,education,
Francis Bradford,1961,GREAT DISCOVERIES,education,
Francis Costa,1939,"THE OLD BRONX, THE BRONX TODAY",education,
Francis Kughler,1934,"""NEW YORK HARBOR""",education,
Francis Mora,1921,EDUCATION PROVIDING ILLUMINATION,education,
Francis Muller,1921,Dreyfus Plaque,public,
Francois Rubitschung,1937,"""PROTECTION""",education,
Francoise Schein,1985,Subway Map Floating on a New York Sidewalk,public,
Frank Big Bear,1997,DREAM CATCHER LOVE SONG,education,yes
Frank Giorgini,2000,Passages ,mta,
Frank Hoffman,,BRADDOCK'S DEFEAT,education,
Frank Leslie Hampton,2000,Uptown New York ,mta,
Frank Nagy,1930,LAMBS,education,
Frank Olt,1992,Temple Quad Reliefs ,mta,
Frank Reilly,1958,"""FIGURES OF HISTORY""",education,
Frank Reilly,1959,"THE HUMANITIES PROTECTING BIOLOGY, PHYSICS AND CHEMISTRY",education,
Frank Roggeni,1925,"""SAGA OF KNOWLEDGE""",education,
Fraser,1920,"""PROFILE OF ROOSEVELT""",education,
Fred Powell,1962,CONSERTE,education,
Fred Tomaselli,1996,Ten Kilometer Radius,percent,yes
Fred Wilson,1995,PANGAEA,education,yes
Freddy Rodriguez,1988,ROMAN GOD JANUS LOOKING TOWARD THE PAST AND FUTURE,education,
Freddy Rodriguez,1995,THE GARDEN AND GUITAR,education,
Freddy Rodriguez,2006,Flight 587,percent,yes
Freddy Rodriguez,2006,Flight 587 Memorial,public,
Frederic Bartholdi,1876,Marquis de Lafayette,public,
Frederic Bartholdi,1900,Lafayette and Washington,public,
Frederic De Henwood,1934,Gerald MacDonald,public,
Frederic Taubes,,OLYMPIA (FEMALE HEAD),education,
Frederic Triebel,1921,"""PORTRAIT OF DANTE""",education,
Frederick Dana Marsh,1913,Marine Grill Murals ,mta,
Frederick Lamb,1911,WASHINGTON BEFORE THE BATTLE OF LONG ISLAND,education,
Frederick MacMonnies,1891,James S.T. Stranahan,public,
Frederick MacMonnies,1893,Nathan Hale,public,
Frederick MacMonnies,1895,Washington Square Arch,public,
Frederick MacMonnies,1898,Quadriga: the Triumphal Progress of Columbia,public,
Frederick MacMonnies,1899,The Horse Tamers,public,
Frederick MacMonnies,1900,The Army: Genius of Patriotism Urging American Soldiers On To Victory,public,
Frederick MacMonnies,1901,Four Eagles,public,
Frederick MacMonnies,1901,The Navy: American Sailors At Sea Urged On By the Genius of Patriotism,public,
Frederick MacMonnies,1905,General Henry Warner Slocum,public,
Frederick Roth,1925,Balto,public,
Frederick Roth,1935,African Antelopes,public,
Frederick Roth,1935,American Antelopes,public,
Frederick Roth,1935,Baboon and Mandrill,public,
Frederick Roth,1935,"Cheetah, Leopard and Puma",public,
Frederick Roth,1935,Chimpanzee,public,
Frederick Roth,1935,Cockatoos and Ara,public,
Frederick Roth,1935,Deer,public,
Frederick Roth,1935,Gorilla,public,
Frederick Roth,1935,Lions,public,
Frederick Roth,1935,Macaque and Orang-outang,public,
Frederick Roth,1935,Mowgli and Friends Attack the Monkey City,public,
Frederick Roth,1935,Mowgli Rides the Bull Against the Tiger,public,
Frederick Roth,1935,Mowgli Singes the Tiger,public,
Frederick Roth,1935,Ponies,public,
Frederick Roth,1935,Rhesus and Ring-Tailed Lemurs,public,
Frederick Roth,1935,Rocky Mountain Goats,public,
Frederick Roth,1935,Rocky Mountain Sheep,public,
Frederick Roth,1935,Swans,public,
Frederick Roth,1935,Tigers,public,
Frederick Roth,1935,Turkeys,public,
Frederick Roth,1935,Wolf and Lynxes,public,
Frederick Roth,1936,Amphibian,public,
Frederick Roth,1936,Beach and Sea Lion,public,
Frederick Roth,1936,Flying Fish,public,
Frederick Roth,1936,Ibis Totem,public,
Frederick Roth,1936,Jelly Fish,public,
Frederick Roth,1936,Life Saver,public,
Frederick Roth,1936,Loeb Memorial Fountain,public,
Frederick Roth,1936,Medusa,public,
Frederick Roth,1936,Migrating Birds,public,
Frederick Roth,1936,Old Man River,public,
Frederick Roth,1936,Poor Fish,public,
Frederick Roth,1936,Sand Fleas,public,
Frederick Roth,1936,Scorpions,public,
Frederick Roth,1936,Speeder,public,
Frederick Roth,1936,Sport Fish,public,
Frederick Roth,1936,Wild Geese,public,
Frederick Roth,1937,Dancing Bear,public,
Frederick Roth,1937,Dancing Goat,public,
Frederick Roth,1938,Mother Goose,public,
Frederick Ruckstull,1896,Soldiers and Sailors Monument,public,
Frederick Ruckstull,1922,Dongan Oak Marker,public,
Frederick Ruckstull,1922,Dongan Oak Marker,public,
Fredrick Stoddard,1908,WOMANHOOD,education,
Fredrick Stoddard,1916,THE BIRTH AND DEVELOPMENT OF EDUCATION,education,
Fredrick Stoddard,1925,UPWARD,education,
Friedreck Beer,1885,WASHINGTON IRVING,education,
Friedrich Beer,1885,Washington Irving Memorial,public,
Furman Finck,1964,"""GRACE L. COREY, ADMINISTRATIVE ASSISTANT""",education,
G Siegel,,"""ARTE + A =0"" AND ""KATSURA""",education,
G Wilson,1964,"""THREE CHILDREN""",education,
G. Jones,1975,AMERICA A PROPHECY,education,
Gabriel Koren,1997,El-Hajj Malik Shabazz,percent,yes
Gabriel Koren,2011,Frederick Douglass Memorial,public,yes
Gaetano Cecere,1926,Astoria Park War Memorial,public,
Gaetano Russo,1892,Columbus Monument,public,
Gail Boyajian,2020,Aviary,mta,
Gary Schmitt,,CALLING TO THE KITES,education,
Geer Morton,1984,WATER GLASS QUARTET,education,
Geer Morton,1987,HOUSES OF WEST POINT,education,
Geer Morton,1988,PEAR AND PLATE,education,
Geer Morton,1988,CAMILLIA STILL LIFE,education,
Geer Morton,1988,STUDY OF JACOB VAN RUISDALE,education,
Geer Morton,1988,BOWL ON TABLE,education,
Geer Morton,1988,COFFEE CAN STUDY,education,
Geoffrey Norman,1936,CULTURAL DEVELOPMENT OF ART IN CIVILIZATION,education,
Georg Lober,1926,City Employees War Memorial,public,
Georg Lober,1956,Hans Christian Andersen,public,
Georg Lober,1959,George M. Cohan,public,
Georg Lober,1959,Senator Robert F. Wagner,public,
George Bates,2011,Symphonic Convergence 1&2 ,mta,
George Bates,2013,Generation Dynamica ,mta,
George Bissell,1896,Abraham De Peyster,public,
George Bissell,1899,Chester Alan Arthur,public,
George Brewster,1923,Pleasant Plains Memorial,public,
George Browne,1939,A. MORTIMER CLARK,education,
George Constant,1937,THE CREEK,education,
George Constant,1937,FROM THE BALCONY,education,
George Constant,1937,WHEN WE WERE VERY YOUNG,education,
George Constant,1937,GEORGE WASHINGTON BRIDGE,education,
George Constant,1938,"STILL LIFE WITH PEARS, BOWL AND CLOTH",education,
George Crespo,2009,Latin American Stories ,mta,
George Frampton,1920,William T. Stead Memorial,public,
George Koras,1971,"""UNITY, SERENITY, PEACE""",education,
George Koras,1972,THE CHALLENGE,education,
George Mason,1995,Untitled,percent,yes
George Nelson,1925,EDUCATION INSPIRES YOUTH TO SERVICE AND LOYALTY,education,
George Nelson,1927,THE IDEAL SCHOOL,education,
George Segal,1992,Gay Liberation,public,
George Simonds,1875,The Falconer,public,
George Snowden,1934,The Majesty of the Law,public,
George Snowden,1934,Triumph of Justice,public,
George Stonehill,1942,"ON THE GREEN, NIEUW AMSTERDAM",education,
George Trakas,2004,"Hook (Archean Reach), Line (Sea House), and Sinker (Mined Swell) ",mta,
George Trakas,2007,Waterfront Nature Walk,public,yes
George Tsaras,2008,Aristotle,public,
Georgiano Augusta,1942,GEORGIANO AUGUSTA,education,
Gerard Recke,1936,EDUCATIONAL MOTIVE: SPORTS & SCIENCE,education,
Gerard Recke,1936,SPIRITUAL MOTIVE: GALAHAD,education,
Gerard Recke,1936,AESTHETIC MOTIVE,education,
Gertrude Kanno,1929,"""J. HERBERT LOW""",education,
Gertrude Whitney,1922,Washington Heights-Inwood War Memorial,public,
Gertrude Whitney,1941,Peter Stuyvesant,public,
Gilmer Petroff,1939,THE BRITTON COTTAGE,education,
Gilmer Petroff,1939,THE PERINE HOUSE,education,
Gilmore Clarke,1964,Unisphere and Fountain,public,
Giovanni Tiepolo,1740,SOLDIER ABOUT TO MOUNT HIS HORSE (FROM VARI CAPRICCI),education,
Giovanni Turini,1878,Giuseppe Mazzini,public,
Giovanni Turini,1888,Giuseppe Garibaldi,public,
Giulio Monteverde,,THE BOY COLUMBUS,education,
Golda Lewis,1970,COMPAGE,education,
Golda Lewis,1970,DOLMEN JUTLAND DENMARK,education,
Golda Lewis,1973,CIRCLE 101,education,
Golda Lewis,1973,TIME: THE FLOWER STASHA,education,
Golda Lewis,1973,AFRICAN FIGURE,education,
Golda Lewis,1980,BLACK AND SILVER MOUNTAIN,education,
Golda Lewis,1992,"MEGALITH IN MARIAGER FJORD, DENMARK",education,
Golda Lewis,1992,"DOLLOMITE, JUTLAND, DENMARK",education,
Golda Lewis,,ROLLING WAVES ON THE BEACH,education,
Golda Lewis,,"""1970""",education,
Golda Lewis,,UNITITLED,education,
Golda Lewis,,QUESTION #85,education,
Golda Lewis,,DRAWING IN LEATHER,education,
Golda Lewis,,ROCK AND TREES,education,
Golda Lewis,,DOLMEN ALBORG DENMARK,education,
Golda Lewis,,MEGALITH CUT IN MARIAGER FJORD,education,
Golda Lewis,,UNTITLED (ROCKS & BLUE SKIES),education,
Gorham Company,1906,"""BOARD OF EDUCATION PLAQUE""",education,
Gorham Company,1907,GOETHE AND VICTOR HUGO WINDOWS,education,
Gorham Company,1921,"""WW 1 MEMORIAL PLAQUE""",education,
Gregg Lefevre,1993,THE BRONX,education,yes
Gregg LeFevre,2002,Union Square Park Labor & History Plaques,public,
Gregory Frux,1990,DAY & NIGHT,education,
Gregory Frux,1991,TWELVE MONTHS,education,
Gregory Frux,2000,JOSEPH LIGHTING,education,
Gregory Gillespie,1984,SELF PORTRAIT,education,
Gregory Perillo,1982,BLUE SPRUCE (NAVAJO),education,
Greta Kempton,1936,PORTAIT OF KATE TURNER,education,
Gustav BlÃ¤ser,1869,Alexander von Humboldt,public,
Gustav Kraitz,1998,Raoul Wallenberg Monument,public,
Gustav Kraitz,2009,Close Contact,public,
Gutzon Borglum,1918,General Daniel Butterfield,public,
Guy Maccoy,1939,"""IMPORTANT WOMEN IN SILK INDUSTRY"", ...",education,
Guy Maccoy,,IMPORTANT WOMEN IN WOOL INDUSTRY,education,
Gwen Lux,1954,"""EDUCATION-ASPIRATION""",education,
Gwen Lux,1958,VAPOR TRAILS,education,
Gwen Lux,1959,"SUN, BIRDS, AND LIGHT/ EAGLE",education,
Gwen-Lin Goo,2006,EIGHT BROOKLYN LANDMARKS AND WILD LIFE OF NY STATE,education,
Gyula Zilzer,1936,CONNECTICUT WATERFRONT,education,
Gyula Zilzer,1936,FISHING VILLAGE CLINTON CONN.,education,
Gyula Zilzer,1937,THE ETCHING PRINTER,education,
H. Adler,1923,Morris Park World War Memorial,public,
H.A. Van den Eyden,1926,Netherland Monument,public,
H.N. Hans,,NEW YORK CITY,education,
Hank Lavethol,1985,TIDEWATER,education,
Hans Foy,1935,"""HILLSIDE WITH FIELDS AND HOUSE""",education,
Hans Foy,,"""TALL TREES""",education,
Hans Foy,,"""DOMESTIC LANDSCAPE""",education,
Hans Foy,,LANDSCAPE,education,
Hans Foy,,"""FEMALE NUDE""",education,
Hans Foy,,HILLSIDE WITH BLUE BARN,education,
Hans Foy,,"""SAILBOATS""",education,
Hans Foy,,"""CHURCH STEEPLE""",education,
Hans Foy,,"""LANDSCAPE WITH ORANGE AND YELLOW BARNS""",education,
Hans Foy,,"""CHERRY TREES""",education,
Hans Foy,,"""LANDSCAPE WITH ORANGE HOUSES AND BLUE MOUNTAINS""",education,
Hans Foy,,"""LANDSCAPE WITH TREES AT CENTER""",education,
Haresh Lalvani,2015,MORPHINGS88 ,mta,
Harold Faye,1937,SPUYTEN DUYVIL,education,
Harold Faye,1937,JERSEY LOCOMOTIVE,education,
Harold Faye,,UNDER THE BRIDGE,education,
Harold Kihl,1966,"""EARLY AMERICAN EXPLORATION""",education,
Harold Kihl,1966,"""AMERICAN HISTORY: PRESIDENTS""",education,
